"rank","views","likes","shares","comments","date","url","caption","transcript_chars"
"1","1300000","20300","5926","839","2023-10-14","https://www.tiktok.com/@bssuame_bmc/video/7289370057245756680","KHẮC PHỤC TÌNH TRẠNG BẾ NGỦ ĐẶT XUỐNG THỨC DẬY #bssuame #bssuamelanhuong #giacngucuatre","1992"
"2","815400","18500","5136","447","2023-05-24","https://www.tiktok.com/@bssuame_bmc/video/7236214672741928193","CÁCH BẾ TRẺ SƠ SINH AN TOÀN #bssuame #bssuamelanhuong #vuthilanhuong","877"
"3","611800","12500","3584","587","2023-06-07","https://www.tiktok.com/@bssuame_bmc/video/7241084522727607570","CÁCH VỖ LƯNG GIÚP BÉ DỄ Ợ #bssuame #bssuameanhthy #volungohoi","973"
"4","310900","7591","564","252","2022-08-14","https://www.tiktok.com/@bssuame_bmc/video/7131549233164963099","ĂN UỐNG LẠNH KHI CHO CON BÚ ? #bssuameanhthy #bsanhthy #uongnuoclanhkhichoconbu #uongnuocamkhichoconbu #suame","982"
"5","256400","2923","774","286","2023-05-30","https://www.tiktok.com/@bssuame_bmc/video/7238841406079372549","VÌ SAO BÉ NẤC CỤT? #bssuameanhthy #naccut ","1346"
"6","199100","3058","873","262","2023-04-30","https://www.tiktok.com/@bssuame_bmc/video/7227286989018565889","TRỚ SỮA ỌC SỮA NGHĨA LÀ BÉ NO ? #bssuameanhthy #trosua #ocsua","1400"
"7","189200","2882","360","415","2023-07-08","https://www.tiktok.com/@bssuame_bmc/video/7252334902086061319","UỐNG NHIỀU NƯỚC CÓ GIÚP NHIỀU SỮA ? #bssuame #bssuameanhthy #kichsua","1196"
"8","182400","1376","477","103","2024-11-30","https://www.tiktok.com/@bssuame_bmc/video/7441780110803406098","Môi bé bị bong, rộp lên có phải bú thiếu ?","1118"
"9","179800","1054","360","148","2023-06-13","https://www.tiktok.com/@bssuame_bmc/video/7243306593989725448","UỐNG SỮA ÔNG THỌ GIÚP TĂNG SỮA MẸ ? #bssuame #bssuameanhthy","940"
"10","178000","1518","748","207","2023-10-24","https://www.tiktok.com/@bssuame_bmc/video/7293328076035935495","UỐNG NƯỚC LÁ TÍA TÔ GIÚP CON KHÔNG BỊ SỐT KHI CHÍCH NGỪA ? #vaccine #chichngua #nuoclatiato #bssuame #bssuameanhthy","781"
"11","176100","2137","766","157","2024-11-04","https://www.tiktok.com/@bssuame_bmc/video/7432580218868550929","Sữa mẹ bỏ tủ lạnh ra hâm bao lâu rồi cho bé bú #bssuame #bssuameanhthy #hamsua","1174"
"12","175600","2828","623","92","2023-11-06","https://www.tiktok.com/@bssuame_bmc/video/7298169590368980226","CÁCH ĐẶT BÉ NẰM SẤP AN TOÀN #bssuame #bssuamelanhuong #namsap ","23"
"13","173700","3126","270","155","2022-06-26","https://www.tiktok.com/@bssuame_bmc/video/7113397894211833090","CANH GIỜ CHO BÚ HAY BÚ THEO NHU CẦU ? #suame #chobutheonhucau #canhgiochobu #bssuameanhthy #bsanhthy","2641"
"14","173100","2359","583","136","2023-04-13","https://www.tiktok.com/@bssuame_bmc/video/7221470920488045825","VÌ SAO BÉ GIẬT MÌNH VẶN MÌNH NGỦ KHÔNG SÂU ? #bssuameanhthy #vanminh #giatminh #bengukhongsaugiac","2561"
"15","172500","2348","141","504","2023-07-15","https://www.tiktok.com/@bssuame_bmc/video/7255874959443021063","KHI NÀO BÉ CÓ THỂ NGỦ XUYÊN ĐÊM ? #bssuame #bssuameanhthy #nguxuyendem","1359"
"16","164400","4177","454","205","2022-10-02","https://www.tiktok.com/@bssuame_bmc/video/7149916370094787866","BÉ NGỦ KHÔNG SÂU  #bssuameanhthy #bengukhongsaugiac ","23"
"17","164300","4422","1260","180","2024-06-10","https://www.tiktok.com/@bssuame_bmc/video/7378319234763394305","Làm sao tăng chất lượng sữa ? #bssuame #bssuameanhthy #chatluongsuame #suadacsanh","1034"
