"Rank","Date","Views","Likes","Comments","Shares","Saves","Caption","Hashtags","URL","DurationSec"
"1","2026-05-04 20:51","6114","45","9","0","2","3 tháng chỉ ăn, hút sữa rồi mang đi cho #mangthai #thieuvananh #chamsocmebe ","#mangthai #thieuvananh #chamsocmebe","https://www.tiktok.com/@chamsocmebe/video/7636033847812967700","75"
"2","2026-05-06 14:53","3458","49","5","0","1","Để nuôi con hoàn toàn bằng sữa mẹ trong 2 năm thì mẹ cần làm những gì? #mangthai #thieuvananh #chamsocmebe #learnontiktok","#mangthai #thieuvananh #chamsocmebe #learnontiktok","https://www.tiktok.com/@chamsocmebe/video/7636683701258063120","73"
"3","2026-05-06 16:42","2909","23","0","1","1","Chân ái bình mềm, mô phỏng tee mẹ #mangthai #thieuvananh #chamsocmebe ","#mangthai #thieuvananh #chamsocmebe","https://www.tiktok.com/@chamsocmebe/video/7636711793028533525","60"
"4","2026-05-05 22:13","2528","29","0","0","2","Không bao giờ hứa với trẻ con, hứa không làm tối khóc không ngủ #mangthai #thieuvananh #vlog ","#mangthai #thieuvananh #vlog","https://www.tiktok.com/@chamsocmebe/video/7636426221420842261","146"
"5","2026-05-07 22:53","2407","21","3","0","2","Trả lời @Phương Nhung khi bé đã chấp nhận ăn ngoan, lượng sữa sẽ tăng dần. Việc luyện bình cho con và con dc nhịn 1 lần 7 tiếng giúp m có kết quả này #mangthai #thieuvananh ","# #mangthai #thieuvananh","https://www.tiktok.com/@chamsocmebe/video/7637178582858616072","536"
"6","2026-05-06 22:32","2003","21","8","0","3","Lưu ý khi chích 6in1 để an toàn cho con #mangthai #thieuvananh ","#mangthai #thieuvananh","https://www.tiktok.com/@chamsocmebe/video/7636802166082096392","126"
"7","2026-05-06 20:54","1828","17","5","1","0","Trả lời @Matchakemchese 🍵 bò mẹ 100% #mangthai #thieuvananh ","# #mangthai #thieuvananh","https://www.tiktok.com/@chamsocmebe/video/7636776756514475284","57"
"8","2026-05-07 10:03","1660","28","2","2","2","Những hiểu lầm của mẹ khi nuôi con hoàn toàn bằng sữa mẹ. #mangthai #thieuvananh #chamsocmebe #learnontiktok","#mangthai #thieuvananh #chamsocmebe #learnontiktok","https://www.tiktok.com/@chamsocmebe/video/7636980001979649297","56"
"9","2026-05-08 14:10","1392","22","0","8","3","Các yếu tố quan trọng để sữa mẹ về nhanh. #mangthai #thieuvananh #chamsocmebe #learnontiktok","#mangthai #thieuvananh #chamsocmebe #learnontiktok","https://www.tiktok.com/@chamsocmebe/video/7637414821146791175","57"
"10","2026-05-08 20:43","1130","10","2","0","0","Dọn sữa 15 ngày để tặng luôn cho các con được dùng sữa mới #mangthai #thieuvananh #chamsocmebe ","#mangthai #thieuvananh #chamsocmebe","https://www.tiktok.com/@chamsocmebe/video/7637516253942336788","73"
