rank,id,view_count,like_count,comment_count,repost_count,duration_s,upload_date,url,title,transcript_chars
1,7619363832473046293,1400000,5737,10,77,83,2026-03-20,https://www.tiktok.com/@duocsyngacoi/video/7619363832473046293,Cuối cùng thì tôi đã tìm ra lý do tối qua anh ý ngủ không ngon giấc l...,1185
2,7592148984622370068,1200000,46300,631,13100,66,2026-01-06,https://www.tiktok.com/@duocsyngacoi/video/7592148984622370068,"Trả lời @Hậu ❤️ nắm chắc như bắp cách sơ cứu cho bé nha , có thể sẽ c...",1072
3,7616596673162235156,908400,1666,76,152,229,2026-03-13,https://www.tiktok.com/@duocsyngacoi/video/7616596673162235156,Vitamin D3K2 mở nắp ra rồi dùng được trong bao lâu ? #landaulamme #me...,3826
4,7592100071852854549,827200,27400,223,7320,96,2026-01-06,https://www.tiktok.com/@duocsyngacoi/video/7592100071852854549,"Trả lời @Kem Baby Care đây nha bà , chúng mình phải nắm chắc mấy cái ...",1346
5,7613985258442378516,765400,7996,568,2974,85,2026-03-06,https://www.tiktok.com/@duocsyngacoi/video/7613985258442378516,Trả lời @Thị Huế  Mẹ nào có bé trai  Thì nhất định phải biết  Vệ sinh...,1415
6,7615556332900420885,441800,928,108,47,38,2026-03-10,https://www.tiktok.com/@duocsyngacoi/video/7615556332900420885,Bà nào mà nhiều sữa Thì đừng uống cái này nhé #landaulamme #suame #ki...,575
7,7354210163865210113,427800,2538,1334,97,35,2024-04-05,https://www.tiktok.com/@duocsyngacoi/video/7354210163865210113,Có mom nào mang bầu phải uống cái này không#ydgr #duocsingacoi #bau #...,282
8,7613968070427675924,412700,1582,74,131,171,2026-03-06,https://www.tiktok.com/@duocsyngacoi/video/7613968070427675924,Bí kíp để lúc nào Hai trái đào cũng căng tràn sữa Con lên ký tốt Từ 1...,2999
9,7633004628484967700,401400,12500,80,5551,384,2026-04-26,https://www.tiktok.com/@duocsyngacoi/video/7633004628484967700,Sai lầm của mẹ khi Xử trí bé bị ngã  Khiến con bị mù loà  Vĩnh viễn …...,6608
10,7592952134929501461,357300,5281,179,2169,52,2026-01-08,https://www.tiktok.com/@duocsyngacoi/video/7592952134929501461,Tui đã mắc một sai lầm khiến em bé của tui suýt phải nhập viện vì #…#...,874
11,7593258637087362325,310500,10800,187,2131,160,2026-01-09,https://www.tiktok.com/@duocsyngacoi/video/7593258637087362325,Trả lời @Mẹ Minh Châu 🥖 xử trí đúng khi em bé bị sốt cao co giật #meb...,3006
